,Year,Mon,Week,Open,High,Low,Close,Volume,service,downloading,copyrighted,internet,hashtag,tracking,advertisers,offline,cardholders,spam,chat,uploaded,video,painstakingly,promotional,machinima,placement,web,searches,notifying,feeds,graphs,update,intrade,microblogs,stored,banter,application,infringing,html,lists,http,subscriptions,automatically,sites,streaming,compiling,maps,experiential,digitally,scalpers,illegitimately,satellite,hangout,rumor,posts,trackers,platform,subscriber,websites,airtime,users,edit,petition,backpage,content,information,scams,multiplatform,upload,com,media,document,recorder,href,timeline,caption,copyright,scanning,catalogs,skips,user,deleting,download,click,updating,mail,notices,blogs,posting,messages,pandora,delete,alerts,listings,authentication,search,interactive,kickstarter,videos,virtual,geek,facetime,trailers,texts,autoslash,browse,silicon,keystrokes,lounges,fake,bookmarks,conferencing,customized,streams,site,checking,verifying,dotcom,post,social,via,preloaded,megaupload,pdf,postings,incorporating,graphics,adblock,archive,downloaded,online,autographs,database,youtube,tabs,updated,updates,nyt,tweets,orchestration,shazam,bridgebase,edits,informative,booking,fastweb,telephone,kotaku,consoles,chip,discontinuing,patents,ibooks,laptops,faster,smart,automated,infringed,machine,sensors,developers,antivirus,mapping,tweaked,wearable,delivery,counters,desktop,storage,gps,cloud,holdouts,mainframe,operating,electronics,handsets,inexpensive,simplified,modes,screens,fast,layout,devices,screen,intel,nifty,hardware,android,password,browsing,computing,televisions,wearer,cellular,consumer,maneuvers,videoconferencing,smartphone,connector,server,computers,pricing,java,printing,technologies,interface,oracle,tools,device,printers,phones,target,analytics,speedier,refine,processors,simulation,newer,computer,xerox,eyeglasses,titan,handset,portable,laptop,webos,playbook,motion,appliances,date,Day
0,2012,05,2,80.98,81.96,80.39,81.258,108553188,85,62,70,93,22,37,72,64,38,89,93,58,72,33,83,62,85,83,51,53,67,89,59,11,80,86,36,91,53,99,94,95,57,74,99,59,84,58,77,29,17,21,73,37,100,69,65,65,11,97,16,90,99,20,53,93,98,81,36,99,75,85,91,96,99,100,20,76,91,85,90,94,65,87,79,77,86,71,97,42,60,63,70,57,92,83,77,84,29,77,97,68,36,91,88,21,46,46,71,65,56,89,94,65,36,99,59,44,12,78,82,93,61,37,62,83,89,100,19,86,60,86,62,100,75,95,59,56,37,36,74,32,81,61,29,26,75,87,51,56,80,46,73,62,67,81,58,91,11,75,77,92,96,92,14,22,55,19,96,73,55,62,3,84,86,93,87,87,55,82,83,23,78,75,81,90,79,92,63,84,69,88,50,23,68,96,77,96,42,81,100,91,83,74,90,100,94,96,96,70,85,83,40,91,13,76,84,78,98,89,94,81,30,81,85,74,85,21,84,89,2012-05-12,12
1,2012,05,3,78.782,79.386,77.22,77.656,141966766,84,63,68,92,21,37,63,63,52,88,93,57,70,25,83,59,84,85,47,44,69,80,57,9,100,86,36,91,58,100,89,100,48,74,98,55,92,59,82,26,15,0,74,28,92,68,63,66,12,100,15,88,99,18,54,93,97,82,31,96,76,84,92,97,96,88,22,76,90,77,92,94,66,86,79,59,85,71,98,41,57,59,69,59,88,87,78,86,26,78,98,72,34,96,92,29,45,47,82,65,59,91,93,66,29,98,58,45,8,76,82,92,73,35,62,79,82,94,19,88,59,87,58,98,74,94,60,56,36,36,65,34,74,65,29,26,75,90,50,51,75,41,73,64,65,84,58,86,10,78,75,94,95,90,11,22,55,20,95,76,54,61,2,85,82,92,87,87,55,81,82,25,77,74,80,88,79,97,61,84,68,87,47,37,67,96,70,75,40,82,96,88,80,73,91,98,96,99,94,71,85,79,41,91,21,79,77,86,79,86,93,81,30,79,88,72,88,20,96,92,2012-05-19,19
2,2012,05,4,80.058,81.446,78.844,80.47,136771993,83,63,63,91,20,35,49,61,43,85,93,56,71,61,82,66,84,83,44,51,69,70,56,13,40,82,37,88,46,96,91,99,53,69,97,51,84,59,63,24,20,41,73,18,97,68,64,63,11,95,15,82,97,16,52,91,91,85,26,98,78,85,84,94,94,85,20,71,87,76,100,90,62,87,77,57,85,69,96,41,57,56,68,64,88,79,74,76,26,78,95,66,35,95,94,16,46,45,57,66,57,88,90,63,29,98,54,45,8,77,79,91,61,35,61,80,82,89,19,86,60,87,60,93,75,94,60,55,37,34,74,33,67,59,25,26,72,87,50,47,76,51,61,63,65,83,57,85,10,71,72,89,93,86,9,21,55,19,92,76,54,59,3,79,80,90,92,83,49,79,85,25,76,70,80,85,80,93,63,85,67,82,49,31,66,95,77,78,41,79,95,86,76,71,84,92,91,93,92,68,81,83,42,87,18,70,78,83,72,85,90,81,29,81,88,72,85,20,86,92,2012-05-26,26
3,2012,06,1,81.31,81.81,80.07,80.14,130245094,85,65,61,92,22,37,65,64,27,87,94,53,73,48,81,83,86,83,45,49,67,67,59,19,46,84,38,90,62,97,93,93,60,73,97,54,80,60,68,30,16,20,77,16,93,69,59,65,12,97,100,85,96,17,53,93,89,82,50,96,75,84,89,98,98,71,20,72,87,82,93,93,65,88,78,53,83,71,96,44,56,58,71,61,100,82,75,77,26,77,94,72,36,95,97,17,51,45,70,70,57,90,88,66,29,96,54,45,8,82,78,92,70,32,61,88,80,88,20,86,62,87,66,93,75,97,60,58,37,36,72,32,76,65,31,27,72,88,72,56,80,46,68,62,68,84,57,89,11,72,68,91,93,88,12,20,55,19,96,76,54,63,2,83,79,91,84,86,51,83,83,25,74,70,81,88,84,91,64,91,69,79,50,32,71,91,61,100,41,82,96,87,79,71,87,94,94,94,94,69,84,85,40,87,9,80,82,74,74,86,90,83,29,82,88,74,81,21,85,87,2012-06-02,02
4,2012,06,2,81.126,81.876,80.34,81.444,103705760,85,64,65,91,21,36,59,62,37,89,93,50,71,57,81,58,90,83,44,62,66,65,63,12,58,86,35,91,55,96,94,92,55,75,94,61,86,61,73,29,16,20,77,16,84,71,63,65,12,96,33,86,96,18,53,94,90,90,46,94,76,85,88,94,92,65,19,70,89,74,84,94,67,87,74,53,86,73,96,40,59,57,72,63,91,83,75,78,28,78,95,69,40,91,94,12,48,46,74,74,58,89,97,60,30,97,55,45,9,79,77,92,64,29,60,79,84,92,21,86,61,89,67,94,72,96,63,64,37,100,61,33,100,61,30,27,77,92,51,50,79,42,66,63,70,83,57,85,5,72,75,99,92,90,15,19,55,20,96,75,55,67,2,86,83,92,79,88,47,81,82,26,75,72,81,91,77,96,64,87,72,86,48,38,71,90,60,83,42,83,94,90,83,72,88,96,96,94,96,70,86,87,42,89,27,75,83,74,73,89,91,88,30,79,88,76,70,19,84,88,2012-06-09,09
5,2012,06,3,82.256,82.62,81.272,81.864,100085510,85,66,62,93,21,37,53,62,60,90,94,51,70,45,81,62,90,84,45,57,71,60,64,13,40,85,36,90,46,96,95,92,56,76,94,52,87,61,69,26,17,20,77,19,81,69,61,66,12,95,20,86,97,15,54,95,90,82,38,97,78,83,88,93,90,58,21,71,94,73,82,96,69,87,75,55,85,72,96,43,61,57,73,63,87,86,76,77,25,79,92,70,40,96,98,21,52,44,70,73,57,92,97,64,28,95,58,45,9,78,77,90,67,29,60,81,74,90,22,85,62,87,64,95,74,97,65,59,38,40,65,33,97,67,28,28,71,91,50,48,76,40,65,65,72,85,56,90,10,72,75,93,92,90,15,20,55,20,94,76,55,66,2,89,85,94,87,87,48,76,81,27,76,72,82,90,80,94,66,88,75,86,49,37,73,90,64,61,42,86,96,93,82,73,87,96,97,97,96,71,85,88,45,88,15,77,85,73,81,92,94,80,29,81,89,77,75,19,86,88,2012-06-16,16
6,2012,06,4,83.058,83.93,82.488,83.392,88611187,87,65,70,92,28,35,59,66,18,88,96,53,70,24,79,63,88,83,42,53,67,54,65,20,40,86,38,90,58,93,90,95,56,78,95,51,94,63,67,24,16,27,80,17,94,70,62,67,12,95,20,87,98,17,55,93,88,86,28,97,78,83,86,93,93,53,20,71,91,75,84,96,70,88,79,56,84,74,99,42,59,57,76,69,85,84,77,76,24,78,89,70,40,97,93,23,51,44,77,74,58,94,92,68,28,98,58,42,15,82,75,89,61,31,59,82,84,88,24,88,65,90,66,94,75,96,65,61,42,39,70,34,64,59,26,29,74,92,54,50,79,49,66,64,74,91,56,90,10,72,76,96,91,86,11,19,57,22,96,81,55,63,2,94,82,91,90,88,45,74,81,27,74,72,82,87,79,95,69,87,71,85,48,32,68,89,70,84,41,84,96,91,80,73,85,97,95,95,96,71,87,88,43,87,12,73,82,68,77,89,93,81,29,82,90,80,76,21,87,91,2012-06-23,23
7,2012,06,5,82.094,82.544,81.414,82.01,74432300,87,68,65,97,22,33,47,65,29,91,96,53,70,40,79,59,84,82,42,48,70,45,63,12,40,81,41,86,46,90,90,95,53,73,95,51,85,63,61,23,22,21,78,18,90,69,64,64,11,93,17,84,95,16,54,90,82,93,34,99,78,82,80,91,94,50,19,65,84,72,83,92,72,87,80,52,83,75,94,41,58,55,74,80,86,76,75,72,23,79,84,70,40,92,95,11,50,40,80,73,59,98,81,61,26,98,58,38,23,79,73,92,60,100,58,73,75,86,23,86,66,90,68,89,74,95,60,58,37,38,64,35,82,58,24,32,72,95,50,52,77,44,63,64,75,88,54,81,11,70,75,95,94,82,10,21,56,21,93,77,57,61,3,82,82,91,81,83,46,75,82,25,72,71,81,86,80,94,70,86,71,83,51,31,71,89,68,75,43,81,95,90,75,73,79,91,90,91,92,69,84,87,44,85,21,72,81,67,78,89,86,79,30,80,94,78,78,19,85,93,2012-06-30,30
8,2012,07,2,85.2575,86.2925,84.9575,85.99,96575804,89,69,71,98,21,37,64,68,47,95,97,56,70,21,81,65,92,83,40,66,86,49,67,11,40,85,41,92,46,94,92,95,57,78,96,51,92,65,76,26,20,21,79,18,90,73,61,66,12,98,18,86,97,17,58,94,88,100,51,100,77,82,86,92,95,49,20,70,92,86,79,98,73,90,83,57,85,78,99,44,60,58,77,67,88,82,77,74,44,79,84,72,40,95,95,7,52,43,69,75,60,95,94,71,29,98,61,43,17,81,75,93,61,75,58,87,75,89,23,89,68,89,87,94,74,96,65,64,38,41,76,35,95,64,27,35,73,93,52,54,81,50,67,67,76,90,56,91,12,73,83,96,100,87,14,23,57,22,98,79,57,62,2,93,83,97,88,93,46,75,84,26,76,72,86,89,79,92,72,92,74,86,49,31,73,91,67,66,44,87,100,93,80,73,88,98,94,96,95,73,89,90,45,87,18,80,80,67,78,97,90,85,30,86,91,80,77,19,86,92,2012-07-07,07
9,2012,07,3,86.646,87.202,85.694,86.584,105014121,89,74,73,94,21,36,60,68,31,91,98,54,72,31,80,68,93,82,44,55,85,52,64,13,40,85,43,92,44,93,97,92,56,80,95,52,100,66,69,28,21,21,79,20,89,71,82,66,13,97,19,86,97,17,58,95,88,98,29,99,80,83,85,94,93,48,20,71,90,84,82,98,72,91,85,57,84,79,100,44,62,59,77,72,84,86,78,77,36,80,83,74,41,100,97,6,51,45,77,76,62,97,90,69,28,98,60,47,13,82,74,93,79,43,58,91,87,93,24,89,68,90,84,97,74,95,64,63,40,41,62,34,75,64,28,33,73,93,54,52,84,51,69,65,80,89,56,94,7,76,76,100,95,89,14,22,58,23,97,79,59,63,2,78,86,96,90,93,42,75,87,28,76,74,87,90,78,92,71,91,70,86,47,30,73,92,71,59,43,90,99,91,81,72,88,100,94,95,97,74,91,90,45,87,23,72,86,65,78,94,94,88,31,82,90,82,82,19,88,93,2012-07-14,14
