Date,Open,High,Low,Close,Volume,Adj Close
2017-04-26,68.080002,68.309998,67.620003,67.830002,25704400,67.830002
2017-04-25,67.900002,68.040001,67.599998,67.919998,30087700,67.919998
2017-04-24,67.480003,67.660004,67.099998,67.529999,29715500,67.529999
2017-04-21,65.669998,66.699997,65.449997,66.400002,32390600,66.400002
2017-04-20,65.459999,65.75,65.139999,65.50,22285400,65.50
2017-04-19,65.650002,65.75,64.889999,65.040001,22672100,65.040001
2017-04-18,65.330002,65.709999,65.160004,65.389999,15140600,65.389999
2017-04-17,65.040001,65.489998,65.010002,65.480003,16609700,65.480003
2017-04-13,65.290001,65.860001,64.949997,64.949997,17755800,64.949997
2017-04-12,65.419998,65.510002,65.110001,65.230003,17082100,65.230003
2017-04-11,65.599998,65.610001,64.849998,65.480003,18735700,65.480003
2017-04-10,65.610001,65.82,65.360001,65.529999,17363400,65.529999
2017-04-07,65.849998,65.959999,65.440002,65.68,13772400,65.68
2017-04-06,65.599998,66.059998,65.480003,65.730003,18070500,65.730003
2017-04-05,66.300003,66.349998,65.440002,65.559998,21381100,65.559998
2017-04-04,65.389999,65.809998,65.279999,65.730003,12981200,65.730003
2017-04-03,65.809998,65.940002,65.190002,65.550003,20352800,65.550003
2017-03-31,65.650002,66.190002,65.449997,65.860001,21001100,65.860001
2017-03-30,65.419998,65.980003,65.360001,65.709999,15100400,65.709999
2017-03-29,65.120003,65.50,64.949997,65.470001,13512400,65.470001
2017-03-28,64.959999,65.470001,64.650002,65.290001,20039300,65.290001
2017-03-27,64.629997,65.220001,64.349998,65.099998,18550200,65.099998
